uuid,playerName,label,blocks_mined,crops_harvested,logs_broken,fish_caught,mobs_killed,blocks_placed,items_enchanted,items_crafted,potions_brewed,animals_bred
c3d178bc-a7a8-4e03-b9f2-b30fea7c4c17,DevonWalks94,miner,9525,4248,5492,7181,8193,8605,1917,7947,6185,4737
05256ea4-75e8-4c59-86ba-04eb71ac9f01,AlexBrews,crafter,5656,8552,7678,1771,4585,5863,3593,8726,3307,7230
1d9413ef-afbc-47f3-be6f-751717ccef5c,AverySurvives29,alchemist,3701,6406,8216,5207,7228,5815,4530,8150,9370,2202
693689bf-b519-4623-97c8-07d893e4335e,RowanFishes62,miner,9056,4770,5750,6752,5330,9050,4321,2383,5498,7887
1a96b740-c19d-4c0e-81b5-ab1326a37bbc,RileyHunts48,miner,8760,4819,3755,6401,2170,3895,8505,6050,8419,3554
8fc00d50-0dd1-4a11-9624-e7297680de18,LaneEnchants4,enchanter,4491,3670,3830,3978,8968,7289,9920,4766,8977,1502
41cfd132-4bce-4ea9-81eb-7860147a4161,MorganTrades85,farmer,4430,9936,4697,7664,8395,6164,2128,9244,9260,3028
88b3a8ae-7ccf-4f60-8834-29a4883a6f9e,MorganRuns16,animal breeder,9447,8335,1665,7269,4654,7606,1731,4103,9094,9451
ec380607-1de5-4e09-b909-532239fbcdd6,RileyEnchants45,fisherman,6978,7613,1729,9790,3665,6026,9543,5215,8064,6269
53e667fa-d4ae-4720-bdf0-7cb6d2b2b368,CharlieFarms46,hunter,3439,8827,2248,1720,9082,6412,1580,9074,4607,1100
ed740456-24ea-4397-b6f5-0cd69084277f,CaseyHeals77,farmer,4657,9309,4300,8056,5265,8460,8137,5598,7423,1103
287c5d14-896d-46d7-9231-7ff17a82b958,MorganHunts,farmer,9393,9467,4817,3776,2579,8317,5757,5199,8639,1722
40ee89c4-baea-47bc-ab86-fc6cf9765d98,FinleyFarms85,fisherman,7089,5246,2835,9437,7821,9039,5718,7702,3316,2070
83301c85-de26-4dca-afdf-9c48f94ea729,LanePlays97,alchemist,4445,3131,6344,3079,2036,3994,1359,6734,7143,7025
b5b8bdef-07da-41e5-8bc9-a3b9f5d3d9f0,HarperHeals50,farmer,3019,9566,3112,7496,5728,4293,1561,1615,4520,6858
21f6c2a4-a525-4281-852f-a0bfa97c2959,LaneLaughs34,farmer,9263,9410,7557,5061,2187,4849,5419,7371,4452,3080
5100d30e-f2d4-4830-8730-2bed0836369d,QuinnFarms55,miner,9609,5198,6180,8457,3405,2396,4967,2264,5443,4000
b47067c5-c9d2-4b17-a4fd-df3754166fd6,AlexDreams,enchanter,7568,5486,2128,7220,9641,8181,9700,7250,2577,6281
56c9a51c-a54b-416a-90e0-6041456a2c24,JesseWrites,farmer,9689,9750,8539,2772,7580,5051,6778,3163,5011,6840
a9ddef3a-0476-4b04-8b66-d7829a38e47e,ShawnRides91,farmer,5268,9398,4783,5707,1291,1058,5013,4472,1162,3454
e0c3326c-1f95-429f-a48e-135aaa72123f,JesseBreeds89,farmer,7149,9692,6353,6943,6606,3972,5534,4636,2664,5837
1e800fe0-2ce7-4a84-be7a-17d18d04d999,ShawnRides29,builder,5459,6126,5258,5986,8197,9982,5859,3172,1567,1897
3e1801e7-5a50-4aad-987a-5b326efb233f,AlexGuards,farmer,1408,9455,3051,7339,2322,2252,6892,1198,4548,8036
424a6c1e-7509-4e68-8b79-7c2c1ba6f999,SkylerCodes,hunter,1310,1951,4586,1899,9289,3444,6508,4432,6944,3745
a57edddd-5927-478e-857b-55e92e28c013,ParkerWalks11,miner,9944,8288,8126,1209,3582,7563,5622,6352,2120,7768
8ccf915d-82e9-41bf-9c31-6fe0bd19ef22,HarperDreams,alchemist,5231,7377,8692,5879,6837,6164,2051,7278,9427,3368
4bb6b0bc-619d-4caf-ae82-8d5067eaef25,HaydenHeals,animal breeder,6652,2397,6995,8126,3726,3532,6985,5768,6083,8360
5c7e1ac1-f9be-4143-9593-a25533b8731b,RowanGuards94,miner,9757,9101,6724,2133,2822,4637,7789,1135,1136,6818
4f8e5fb4-cb8c-403b-9080-bc7dfb6b9f28,TaylorFarms,miner,7827,3924,5139,3979,4657,3612,1831,4114,5805,4893
e310ddb6-c65b-41fb-a495-5bc21d270b9b,LoganChills8,crafter,4007,9558,5086,8408,5918,3399,2270,9810,1591,4247
c1feeb58-ee0c-4225-b0ea-5fd3fd27e5cd,DevonSneaks95,fisherman,9166,7079,7288,9643,5942,3244,1255,2894,5801,7443
c910b2f7-d91e-423a-a369-771c183a2333,LoganCodes,hunter,4811,1676,2818,8065,9201,2324,4677,4171,6249,2071
c024e29c-f779-4787-b3d2-5c4059ede91f,JamieChills,builder,1086,6681,3366,9541,6381,9762,6687,5413,2808,7848
e6e985ea-c200-4217-a9fc-07fd9c628010,SamChats,lumberjack,2321,4677,9802,5799,2511,6499,4084,9389,8890,3300
02b7ee59-bc37-49d9-b649-96d24d7a9b71,SawyerWalks58,enchanter,2419,7971,7641,1071,7669,3911,8744,1573,1570,3760
e76c5c03-6fd8-43ba-bf56-baa2fe54985d,EmersonBrews,miner,9114,8509,6567,3660,8606,8054,5477,6251,4033,3671
7a2400b5-4723-41cb-b308-d1e7c060fa46,SydneyWalks33,farmer,3455,9174,8581,3143,3043,3209,3863,7233,2485,5294
2d6c41ba-d0bf-4a3f-97b7-918dc1205e01,CaseyRides,animal breeder,7892,8148,1865,2597,4666,1236,9407,2383,7439,9556
1350a907-1159-4ac6-a924-6baeb9efe91a,RowanPlays,hunter,7357,1270,5258,4574,9981,7787,1862,3799,4623,4378
c7282c9c-50a5-4806-b351-d3e7bbe915a4,HarperDraws46,builder,5973,7123,4823,2901,1569,8008,6592,3114,4376,2775
589d85d8-1423-4ca2-9a75-58602abdb3ff,DrewCrafts,miner,9750,6385,2435,5542,9140,9514,5578,8038,5306,6202
207b40af-5206-494a-8f9f-a455f73b86c2,SamCrafts8,builder,6471,1969,7686,8105,7803,8840,5659,6855,3294,8357
c209fb74-f0af-460f-97a8-24cc92491b93,HarperWalks64,lumberjack,1254,2727,9678,8935,6120,3944,8038,5859,1394,8804
1519cec5-a557-470b-bb7b-e9a11e6d213a,LoganBrews,builder,2605,1943,6038,8059,5194,8892,6439,6647,4797,8087
5276862d-cf09-416a-a447-dd1d931c39c4,HarperExplores33,hunter,4218,7127,4785,1015,8116,1883,1059,4811,3909,7303
bdfbe3c7-32e6-47aa-8174-b81dda6bd42e,EmersonSneaks88,alchemist,9389,3586,8991,3106,2258,3925,1382,7735,9900,8593
cb5aca38-7712-4c53-a5b4-1402717e517b,BlakeWrites36,miner,8768,5992,4104,3154,6203,4933,3537,4566,3792,2098
64741163-f2f3-410e-87db-8ed74bbb9d3e,RileyPlays,hunter,3226,1686,4708,9087,9756,6175,6016,5371,1825,8364
7314cbc6-28aa-4cb3-8c58-bb6646cab942,DakotaFishes,farmer,7741,8449,4002,1179,7319,5519,2214,2789,5107,7716
3a84e212-7427-4f1b-b294-3de3e077c8c1,AlexWalks,lumberjack,7260,6889,9073,3711,2374,5927,1555,7732,4204,1360
dd89b3cb-102f-475e-af89-bdecf4bb9d26,MorganPlays,miner,9985,7443,1379,9234,2860,7666,5268,3681,4009,9963
43839d10-6211-4c4b-abc0-c7c39cf3c936,JesseDraws,fisherman,2456,1569,1764,9843,7260,8986,4548,1494,3067,4442
01be86ed-cede-4a93-bc6c-ceb435c7d7af,HaydenCrafts,hunter,4171,1863,6579,4186,9434,8628,7664,4944,5979,1447
3657f557-b661-4155-b6a1-3b8d7b98c900,BlakeDreams,builder,5648,7754,5794,5043,5815,9413,3821,8015,1594,6226
65656873-0bcd-42a1-a0b6-4e0b2afa7a55,LaneChills,animal breeder,5327,6785,7726,7545,3976,6984,1617,6639,3486,8008
8ae44c20-23b4-459e-a058-ca4e5e873b0c,SamRuns,crafter,1131,7876,6022,4735,1974,7947,7698,8963,3299,6152
22d2ac66-7547-4104-b39b-938ec46a16d7,SawyerHunts67,fisherman,2985,4873,2566,9377,7669,2932,3145,2895,7244,3261
08af8daa-6203-4144-b6b3-c6b075143de8,LoganDreams76,builder,5698,8537,3119,4589,2417,9362,6588,3643,3786,2548
b09b2f09-6361-43a1-b7a2-8013f06ecea5,MorganWrites10,fisherman,9619,9668,9615,9892,6018,6113,9382,2144,8890,7475
3f85697a-471e-4c1f-9091-f83be3185613,DakotaTravels81,alchemist,4175,3152,3150,4084,1575,3627,1309,3734,6981,4688
c23ae284-f8f5-4f9b-b3bc-0ff54b11d5bb,AlexSneaks,crafter,2098,1330,2490,3185,3588,4328,1849,9788,7255,5226
461d886e-2d34-4072-a88d-d76d0614dfb6,BlakeTravels,miner,9344,6390,8219,7110,5799,7939,5755,5693,7873,8957
939271fb-8019-4b32-9f9c-2e443a82361e,SydneyChills,enchanter,6501,6476,1048,7487,2711,7732,9365,2298,1279,5016
220a8af7-6fd9-4912-b037-7cead66d000d,HarperTrades81,alchemist,1537,6505,6561,6036,6626,8162,4753,5263,9953,1698
22cb1a58-cb01-4df7-aff5-122df542b118,ReeseSurvives22,fisherman,4090,4781,2779,9348,5647,1428,1794,5377,1064,3352
86b14429-5441-492d-9807-c1b12967e0c5,BlakePlays,alchemist,5886,3283,2121,6231,8244,9019,6161,8368,9205,9008
2cb38b64-8dd9-44f4-914a-b041f0e2569e,AveryWins75,farmer,9065,9742,6826,8369,1229,8302,4064,5472,6876,3678
cd9203a9-e1aa-473a-bacb-a1fddcf53285,DakotaHeals,lumberjack,7362,8341,8748,7622,4321,4002,8513,6760,2110,7278
3a30c095-27ec-4872-918a-5db5bd63fae8,CharlieFights90,builder,5306,8314,8163,1861,7798,8428,2289,1231,6513,7978
793b3d9e-f9f8-4760-ad07-d497dee0c7cb,CharlieHunts,miner,8607,6101,5381,4583,3573,2629,5556,1472,3926,7150
97a6c1f0-3bf8-4183-958e-491aaa1b4c8a,RileySurvives,lumberjack,1519,1069,5482,2625,2730,1541,1328,1440,1016,2868
27145d29-d1a8-444b-b35a-2764a36f8f09,RileyDraws,farmer,6239,8960,1039,2008,2340,7482,6704,8258,6537,6869
7c6fe6e2-e072-4a8a-83fc-838a507fc381,CameronFarms61,builder,6329,7872,7278,6268,6975,9383,7708,5264,8398,6734
b5f64980-1575-459b-99fb-98dc28d1727c,DrewTravels,alchemist,1857,1134,6606,1002,1674,2731,2650,5125,8846,3043
34134963-c64b-40bc-8c60-9130b5ce39e4,MorganHeals76,farmer,7835,9703,8600,7910,5483,3722,1680,5435,5256,3459
80aed311-3f20-4aef-b9e3-469e024d8a52,HarperFishes9,miner,9794,6773,6504,3480,3421,6045,7957,8944,3911,1443
da5acd64-91fc-4f7c-a7e1-5380f8d9a668,RileyChills,alchemist,6452,2107,3996,5290,7147,5233,7432,5339,8512,3313
0c056198-c403-4d18-85b8-bab691d80a6b,AveryFights,fisherman,5587,5435,4343,9595,8704,3521,3290,5872,8102,3889
c916a83a-7b41-4e04-a699-16afb039c7ee,CameronDraws,fisherman,5214,7276,2486,9573,9334,2872,3157,5987,6280,8978
0875d752-41c6-4ee1-b018-04cb029b427e,SkylerDreams,fisherman,3212,4631,3674,8609,6315,5281,1619,8357,6381,6160
12fadb78-1e00-4d39-9fb5-12c6d0af1d6b,JesseCodes46,lumberjack,7167,5378,8335,2044,5851,5063,1789,3807,4943,7958
b9a0e0af-49d3-484c-afda-c0b0a65ca55c,AlexPlays22,miner,9379,2151,1536,5101,4197,7958,8577,4578,7394,2340
8e10aa81-00ea-47d3-ae5c-aac3c69ba08b,BlakeRuns,fisherman,4209,1010,5788,7244,1996,1820,3972,2782,6940,2770
91e67f7b-3219-4b2a-a7b3-c6c7c6ae001b,RileyExplores,fisherman,7485,1827,3498,9115,2983,8712,7411,2847,6403,6475
01cdeee4-b4c6-4687-946f-428f287cb4d7,CaseyWrites,fisherman,6266,4953,1064,7328,2362,6790,3849,3552,5520,7101
d8142417-57f5-48cf-844d-40a08c83ab9b,FinleyPlays,fisherman,9397,8300,3881,9769,4340,1033,1809,1295,6377,2587
78faa357-686b-4b07-88df-91491a0f7d66,AlexGuards4,farmer,4064,6287,4825,6232,2340,5622,3510,4331,2238,3533
69075592-c3ae-49fe-97df-495167176bef,ReeseTravels85,builder,3519,8579,5232,7593,9562,9813,7129,8516,6250,5442
0ea8bee8-96e1-4c2f-9872-c889404d8944,AveryFishes,hunter,5841,5919,3731,2496,9786,5015,3060,8583,7362,8671
aaaf955a-f144-4dd5-9c09-32686452f8f6,TaylorTravels85,alchemist,8784,6870,5924,1211,1444,1299,8027,7968,9110,5319
24cf8138-bbd6-469f-84c8-87eb8e74f926,AveryWrites61,animal breeder,9386,2469,5135,4400,6746,7964,1960,5328,9286,9734
745bb43e-2be6-4800-b4d7-5fd33cc689b7,ReeseCodes33,builder,2547,7521,6842,3431,8621,8881,8543,8048,1769,7520
cb306cc3-830b-46a0-8929-7b996ea667a3,MorganCrafts,hunter,1321,5505,1372,7167,9396,1716,1469,9362,5560,8866
ec7ceff2-d9c8-4194-8c6a-f0ffdc608750,DakotaCrafts5,animal breeder,7565,8525,6579,1326,8091,2100,5010,1374,1109,9809
64944946-14ad-4f85-b1a3-cebd37d016e4,SawyerMines63,hunter,3441,7710,5633,3498,9979,1841,8485,3499,5791,2875
5b22c256-f1de-4524-8dd4-55f8d2e064ee,FinleyChills51,builder,7284,7488,7140,1651,6824,8969,6557,1290,8141,6202
8e4f953f-4d35-4e3b-9bdc-cd37986663c0,RileyRuns,lumberjack,2968,7509,9833,9764,4421,4477,4360,1387,8072,8162
869424a3-ae01-493b-aaca-5db31f2340ea,CharlieGuards,miner,9545,8930,4893,5265,2468,8282,1566,4770,1767,7153
a8082feb-1d8c-4c1d-833e-e3b5b0d0e1e8,EmersonQuests,alchemist,4702,1941,9169,5081,7751,6304,7529,2457,9392,1393
a210805a-ad58-4079-9c03-657b27acb2a5,RileyFights35,alchemist,3562,3094,8397,1983,5260,3352,8127,5744,9307,1740
36bf08bf-07e5-4323-81f5-3f335116624e,JamieGuards,fisherman,4729,9442,8893,9688,2619,4676,4288,9144,1021,3751
e2ec4603-2f16-4e2c-aaa4-dd5ea30dcf15,ShawnChills14,hunter,5811,5378,6927,8045,9678,2131,1063,2947,3511,5677
ece5ce2d-ab51-4fd1-ba0c-3dce0d775679,SydneyRides18,hunter,6820,9936,7031,5749,9955,3621,1471,2845,4859,8753
3c0cef9a-6ef2-4e09-8f98-0ab10fc62b55,JesseBrews,builder,5921,8222,9248,3236,6742,9605,1770,4180,6945,8506
bbeb9def-379e-4bab-8a99-d3ec05c0e4cd,AveryHeals13,enchanter,5582,7022,5753,3288,4072,1301,9774,7400,1108,4964
f9a54cee-d7c5-4891-84c7-6a88b21fbb55,ShawnSurvives,hunter,4385,4002,7157,1294,8635,7364,7900,6537,1508,8127
af0c3253-23f7-4b18-ae87-567054a106c3,JamieFarms86,farmer,4136,8701,5406,7580,8277,1011,8116,7597,7437,1044
a54d9eed-13b7-45ee-9067-738b18e5febe,TaylorHunts,alchemist,7877,3263,7625,3810,8657,7981,7939,7899,9285,7750
d79d8986-9b22-4de8-a5a7-92d6b3b80773,EmersonExplores,enchanter,3716,3640,1437,5754,4287,8148,9790,8395,4898,8532
b2528c53-d93d-4db8-b7ce-2371bedbde49,TaylorBreeds12,miner,9893,9134,7348,7265,9217,4311,3689,6939,8481,3916
27cfe932-1f4d-4fc1-9fe6-19920324d615,QuinnRides,miner,9859,3472,7966,1072,9074,6298,3168,7200,8708,7605
dad5cbb0-5a42-4c05-9215-4383c318fba8,SydneyChills11,lumberjack,1310,8466,9577,3686,6264,1352,1809,5089,5809,1729
b0e08880-fe43-4f0f-a05b-250d60c03b93,LoganChats,enchanter,4251,7206,5181,7930,3876,2523,8476,6295,3954,6251
067aa0d7-d23f-4112-8bf5-56dc81910512,BlakeChills36,fisherman,3152,4395,3854,9886,6993,4079,4295,8236,7885,8250
feabc3f4-def0-4b4c-acb9-9ee0c0aa3c5e,AlexFarms,enchanter,8084,3768,2627,6998,1040,2776,9615,8752,6561,7758
0a1e1397-5c27-482b-b4b7-ab66bdab4153,AveryHunts,farmer,5122,8992,6064,5710,5646,8615,4178,7818,5470,3622
747e7502-b2c7-4ffe-900a-f2f659d344c1,CameronDreams,crafter,1286,2055,3918,5773,6180,3392,1296,9417,7082,1354
321f289e-8079-47ad-a143-45bb218c4c40,MorganFarms71,hunter,6725,2630,5347,7510,9764,8453,3794,3182,7739,1624
2eed4c2b-f7e6-4b7d-bc19-1ff21fc9e1f9,RowanRides26,animal breeder,6643,6523,6537,7393,4033,7616,3559,2324,8537,9571
9581840d-dfd0-45cd-a9e5-a8102685b18a,LoganChats27,farmer,9048,9689,7661,8037,4138,7565,4358,6812,7263,4388
1649c078-44f8-42da-8f50-0c883d0f218b,AveryHeals,fisherman,7742,1528,4497,9807,2909,5746,7520,6255,9237,5763
8704ba99-c1ff-4639-a618-f6a60e934cf0,JamieTravels,fisherman,4818,4728,2959,7776,1801,4197,6611,4345,7171,1369
a696e025-0800-49f5-9400-b20b54dd7157,MorganWins56,fisherman,5962,6096,5444,9909,4266,1904,1645,2501,5879,4766
23998870-4fe6-47c7-8301-95265e3fb55d,HarperHunts,lumberjack,3008,7288,9223,8453,2528,3679,8068,1521,7295,3243
a3958225-f855-4dba-95e1-d1e16738d89e,ShawnFishes,crafter,7122,8173,1811,6753,6866,3523,2428,9629,7837,1675
e4e1022b-8109-4200-9b01-28511778d817,SkylerBuilds,miner,9886,2193,4618,5323,7155,3716,4956,5409,3156,9806
de1dcbcf-b3d4-4144-9c30-524a38e9eaa4,DevonBreeds44,enchanter,1595,6444,6523,1350,7848,7710,8251,2683,7231,5987
afd85c4b-5c33-4b01-8d81-8f7c4f8c21a9,MorganRuns,fisherman,4190,2026,6705,9749,2107,7188,2034,7141,5482,3196
fb909af2-f235-49ec-a4ec-cab31fa0df54,SamHeals,enchanter,2025,3281,3489,7186,9172,5000,9808,7104,5109,5831
c4d2a909-7ca5-4247-bebb-c8dd9974e910,SawyerSneaks,miner,9859,2486,1625,1314,7959,2297,5597,5516,9222,8765
